"","SI_1_2.1","SI_1_2.2","SI_1_2.3","SI_1_2.4","SI_1_2.5","SI_1_2.6","SI_1_2.7","SI_1_2.8","SI_1_2.9","SI_1_2.10","SI_1_2.11","SI_1_2.12","SI_1_2.13","SI_1_2.14","SI_1_2.15","SI_1_2.16","SI_1_2.17","SI_1_2.18","SI_1_2.19","SI_1_2.20","SI_1_2.21","SI_1_2.22","SI_1_2.23","SI_1_2.24","SI_1_2.25","SI_1_2.26","SI_1_2.27","SI_1_2.28","SI_1_2.29","SI_1_2.30","SI_1_2.31","SI_1_2.32","SI_1_2.33","SI_1_2.34","SI_1_2.35","SI_1_2.36","SI_1_2.37","SI_1_2.38","SI_1_2.39","SI_1_2.40","SI_1_2.41","SI_1_2.42","SI_1_2.43"
"03 MAR2005",2.203,2.683,3.133,3.775,8.230,3.917,4.266,0.393,0.002,1.112,0.657,3.773,101.740,0.190,0.227,0.347,0.515,5.126,3.722,9.680,1.758,3.777,8.750,15.065,8.019,16.282,4.299,2.753,2.835,4.039,0.464,-5.380,3.201,9423.500,13.270,1.314400,-3.502,137.830000,-1.303,0.100,8.510,8.910,77.860
"04 MAR2005",2.193,2.719,3.081,3.734,8.338,3.845,4.237,0.329,-0.023,1.122,0.685,3.757,102.310,0.180,0.217,0.291,0.546,6.330,5.035,9.870,3.213,5.128,9.766,15.947,9.025,17.068,5.273,3.934,3.671,4.485,1.461,-4.819,3.345,9547.000,13.670,1.311500,-3.715,138.330000,-0.945,0.100,8.320,8.710,77.858
"07 MAR2005",2.155,2.646,3.035,3.695,8.430,3.830,4.260,0.235,0.004,1.144,0.660,3.691,102.480,"_",0.225,0.294,0.505,6.498,5.122,9.850,3.502,5.044,9.888,16.222,8.883,18.227,5.533,4.042,3.863,4.297,1.427,-3.918,3.800,9556.000,13.960,1.319700,-3.113,138.880000,-0.551,0.100,8.310,8.710,77.934
"08 MAR2005",2.165,2.592,3.092,3.698,8.370,"_",4.162,-0.025,0.012,1.185,0.704,3.686,102.170,"_",0.215,0.348,0.502,5.849,4.398,10.000,2.815,4.329,9.193,16.094,9.089,14.543,4.950,3.299,3.171,3.958,1.202,-4.684,3.466,9479.000,14.100,1.324600,-2.753,138.940000,-0.508,0.100,8.330,8.780,77.952
"09 MAR2005","_",2.611,3.078,3.752,8.290,3.872,4.228,0.148,-0.021,1.153,0.744,3.772,101.770,"_","_",0.369,0.538,5.151,3.629,10.200,1.956,3.616,8.582,15.862,8.664,14.376,4.430,2.808,2.796,3.651,0.210,-5.247,4.160,9409.000,14.890,1.334600,-2.019,139.180000,-0.337,0.100,8.460,8.950,78.070
"10 MAR2005","_",2.668,3.105,3.726,8.250,3.934,4.266,-0.197,-0.065,1.144,0.810,3.791,101.650,"_","_",0.322,0.594,4.077,2.628,10.470,0.966,3.028,6.894,14.162,7.864,9.728,3.470,1.917,1.938,2.946,0.635,-5.319,3.274,9318.500,15.380,1.340900,-1.556,139.620000,-0.021,0.280,8.670,9.190,78.140
"11 MAR2005","_",2.673,3.090,3.774,4.440,3.916,4.280,0.640,0.006,1.159,0.791,3.769,101.780,0.180,"_",0.287,0.496,4.230,2.746,10.400,0.923,3.096,7.245,14.090,7.516,10.435,3.470,2.453,1.851,3.359,-0.080,-6.152,3.787,9330.500,15.100,1.341600,-1.505,139.670000,0.014,0.260,8.470,8.930,78.173
"14 MAR2005","_",2.683,3.113,3.798,4.410,3.947,4.314,0.288,0.007,1.140,0.829,3.791,101.710,0.180,"_",0.307,0.512,3.885,2.375,10.390,0.569,2.598,6.931,13.653,7.593,9.060,3.710,2.613,1.996,3.214,0.199,-5.718,3.146,9299.500,16.600,1.337200,-1.828,140.120000,0.337,0.260,8.590,8.970,78.150
"15 MAR2005","_",2.651,3.085,3.750,4.510,3.872,4.297,0.197,0.022,1.135,0.814,3.728,101.710,0.179,"_",0.319,0.500,4.457,3.016,10.480,1.315,3.194,7.408,14.119,8.655,7.458,4.489,3.092,2.828,3.736,-0.352,-6.457,2.893,9345.000,16.550,1.338300,-1.747,139.740000,0.064,0.220,8.550,8.950,78.132
"16 MAR2005","_",2.655,3.080,3.727,4.590,3.880,4.205,0.196,-0.010,1.130,0.852,3.737,101.710,"_","_",0.355,0.523,2.882,1.326,11.250,0.137,0.873,6.016,13.314,7.662,5.453,2.741,1.246,1.570,2.438,-1.391,-7.341,3.346,9187.500,16.870,1.337300,-1.821,139.330000,-0.229,0.250,8.610,9.020,78.109
"17 MAR2005","_",2.664,3.050,3.697,4.590,3.832,4.178,0.125,0.016,1.173,0.822,3.681,101.710,0.175,"_",0.336,0.513,3.231,1.707,11.260,0.656,1.228,6.195,13.568,8.397,7.458,3.001,1.406,1.816,2.116,-1.453,-7.310,2.496,9241.000,17.150,1.337800,-1.784,139.720000,0.050,0.260,8.370,8.950,78.121
"18 MAR2005","_",2.675,3.093,3.715,4.550,3.870,"_",0.262,-0.008,1.160,0.834,3.723,101.710,"_","_",0.345,0.515,3.534,2.016,11.230,0.837,1.534,6.625,13.689,8.444,8.961,3.466,1.671,2.438,2.141,-1.422,-7.706,3.404,9243.500,10.490,1.327900,-2.511,139.280000,-0.265,0.120,8.280,8.800,78.028
"21 MAR2005","_",2.687,3.116,3.721,4.520,3.886,4.214,0.346,-0.012,1.173,0.851,3.733,101.710,0.160,"_",0.363,0.529,3.206,1.592,11.250,0.713,0.439,6.697,13.898,8.896,8.116,2.945,0.946,2.767,2.353,-2.018,-7.719,"_",9217.000,10.510,1.319900,-3.098,139.090000,-0.401,0.060,8.500,8.870,77.992
"22 MAR2005","_",2.683,3.121,3.729,4.610,3.861,"_",0.532,0.028,1.154,0.866,3.701,101.710,0.210,"_",0.347,0.491,3.891,2.405,11.330,1.428,1.461,7.153,13.836,9.554,8.578,3.361,1.518,2.889,2.431,-2.898,-8.555,3.074,9305.500,10.560,1.317500,-3.274,138.450000,-0.859,0.050,8.480,8.830,77.960
"23 MAR2005","_",2.726,3.126,3.757,4.570,3.886,4.206,0.457,0.021,1.140,0.937,3.736,"_",0.183,"_",0.344,0.503,3.367,1.886,11.290,0.957,1.167,6.288,13.359,9.635,5.650,"_",1.436,2.710,1.873,"_",-8.514,2.179,"_",10.850,1.305000,-4.192,137.700000,-1.396,0.020,8.470,8.800,77.882
"24 MAR2005","_",2.732,3.131,3.734,"_",3.855,"_",0.346,0.018,1.161,0.949,3.717,101.680,"_","_",0.328,0.506,4.050,2.516,"_","_","_","_","_","_","_","_","_","_",2.124,"_",-8.476,"_",9277.000,10.140,1.298200,-4.691,138.100000,-1.110,"_","_","_",77.852
"25 MAR2005","_","_","_","_","_","_","_",0.346,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",2.370,"_","_","_","_","_","_","_","_","_","_"
"28 MAR2005","_","_","_","_","_","_","_",0.346,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-2.758,-8.408,2.642,"_","_","_","_","_","_",0.020,0.000,0.000,"_"
"29 MAR2005","_",2.767,3.130,3.744,4.990,3.870,"_",0.472,0.024,1.141,0.954,3.720,101.740,0.180,"_",0.303,0.496,4.186,2.679,11.280,2.017,2.261,6.471,14.692,11.703,8.205,4.002,2.251,3.716,2.052,-3.499,-9.265,0.967,9272.000,10.970,1.292600,-5.102,138.610000,-0.745,0.020,8.650,8.900,77.778
"30 MAR2005","_",2.730,3.104,3.707,4.854,3.852,4.170,0.395,0.032,1.381,0.956,3.675,101.990,0.170,"_",0.290,0.483,3.753,2.195,11.330,1.578,1.545,6.314,14.591,11.102,5.581,3.558,2.148,3.831,1.672,-2.245,-7.804,0.671,9249.000,11.190,1.294300,-4.978,139.130000,-0.372,0.020,8.600,8.810,77.776
"31 MAR2005","_",2.677,3.050,3.671,4.879,3.792,4.143,0.596,0.018,1.122,0.953,3.654,102.370,0.185,"_",0.303,0.499,3.685,1.960,11.330,0.994,1.263,6.890,15.110,9.395,7.645,3.541,2.178,4.138,1.541,-2.590,-8.100,1.568,9211.000,11.150,1.296400,-4.823,138.440000,-0.866,"_",8.360,8.880,77.780
"01 ABR2005","_",2.632,2.989,3.637,4.777,3.775,4.129,0.546,0.019,1.150,0.923,3.619,102.530,0.175,"_",0.298,0.503,4.102,2.298,11.340,0.994,1.540,7.683,15.638,10.285,9.472,3.723,2.760,4.705,1.948,-3.512,-8.763,2.044,9239.000,11.230,1.295900,-4.860,139.070000,-0.415,0.020,8.160,8.800,77.780
"04 ABR2005","_",2.634,2.985,3.619,4.779,3.778,4.105,0.617,0.026,1.172,0.930,3.593,102.730,0.205,"_",0.286,0.491,3.289,1.379,11.410,-0.079,0.583,7.085,15.639,11.024,8.539,3.081,2.004,4.292,1.589,-3.356,-8.475,1.556,9152.000,11.560,1.288300,-5.418,139.180000,-0.337,0.020,8.260,8.590,77.746
"05 ABR2005","_",2.602,2.993,3.623,4.780,3.775,4.115,0.893,0.022,1.172,0.924,3.602,102.590,"_","_",0.338,0.497,4.239,2.393,11.640,0.990,1.485,7.992,16.158,12.275,9.276,3.823,2.503,4.372,2.548,-3.010,-8.096,2.485,9252.000,11.170,1.281000,-5.954,139.160000,-0.351,0.100,8.250,8.590,77.670
"06 ABR2005","_",2.605,2.983,3.603,4.779,3.763,4.123,1.036,0.003,1.153,0.915,3.601,102.680,0.180,"_",0.305,0.507,5.051,3.318,11.510,1.814,2.615,8.679,16.154,11.772,7.989,4.235,2.892,4.702,2.641,-2.754,-8.104,2.945,9343.000,11.180,1.286000,-5.587,139.750000,0.072,0.080,8.250,8.630,77.719
"07 ABR2005","_",2.568,3.046,3.606,4.814,3.762,4.152,1.052,0.017,1.137,0.893,3.589,103.060,"_","_",0.342,0.504,5.219,3.431,11.510,1.929,2.716,8.967,17.205,13.015,7.969,4.726,3.135,5.951,3.255,-2.195,-7.201,2.805,9356.000,11.260,1.292300,-5.124,139.840000,0.136,0.060,8.160,8.510,77.780
"08 ABR2005","_",2.541,3.046,3.597,4.750,3.739,4.156,1.108,0.012,1.159,0.981,3.585,102.760,"_","_",0.339,0.503,5.168,3.359,11.370,1.835,3.028,8.659,17.401,12.039,9.069,4.665,3.397,5.734,3.392,-2.983,-8.094,3.360,9372.500,11.040,1.281900,-5.888,139.460000,-0.136,0.110,7.970,8.570,77.698
"11 ABR2005","_",2.535,3.018,3.598,4.720,3.816,4.138,1.207,0.034,1.188,0.977,3.564,102.980,"_","_",0.315,0.482,4.675,2.797,11.400,1.488,2.135,8.317,17.267,11.725,8.195,4.383,3.290,5.817,3.176,-3.102,-8.427,2.236,9332.500,12.160,1.297100,-4.772,139.760000,0.079,0.100,8.300,8.580,77.801
"12 ABR2005",2.162,2.528,2.991,3.571,4.820,3.724,4.116,1.200,0.017,1.190,0.948,3.554,103.110,0.190,0.218,0.322,0.499,4.323,2.448,11.420,1.226,1.542,8.144,16.704,10.672,7.930,3.861,2.726,5.195,2.616,-2.551,-7.816,1.580,9283.000,12.210,1.298500,-4.669,139.970000,0.229,0.100,8.340,8.600,77.805
"13 ABR2005",2.158,2.537,2.951,3.544,4.770,3.707,4.100,1.230,0.017,1.194,0.893,3.527,103.320,0.170,0.212,0.313,0.506,5.053,3.228,11.410,1.999,2.113,9.138,17.073,10.495,9.099,4.381,3.515,5.240,2.919,-3.516,-9.243,1.295,9344.000,12.300,1.292200,-5.132,138.710000,-0.673,0.070,8.260,8.580,77.712
"14 ABR2005",2.144,2.512,2.930,3.539,4.810,3.697,4.097,1.306,0.018,1.175,0.883,3.520,103.200,0.180,0.226,0.338,0.501,4.944,3.124,11.410,2.009,1.978,8.897,16.755,10.177,6.996,4.205,3.430,4.971,2.600,-4.676,-10.514,0.648,9322.000,12.560,1.282000,-5.881,138.640000,-0.723,0.070,8.350,8.760,77.642
"15 ABR2005",2.119,2.472,2.939,3.513,4.830,3.668,4.089,1.349,0.030,1.170,0.873,3.483,103.510,0.190,0.231,0.348,0.507,2.752,0.819,12.680,-0.082,-0.386,6.517,14.892,8.105,3.881,2.119,1.320,2.492,1.483,-6.450,-12.287,-1.028,9101.500,12.000,1.286800,-5.528,139.080000,-0.408,0.060,8.320,8.790,77.691
"18 ABR2005",2.127,2.451,2.913,3.488,4.830,3.635,"_",1.497,0.031,1.161,0.830,3.458,103.760,0.195,0.193,0.309,0.482,1.299,-0.606,12.850,-1.213,-1.864,4.736,13.551,7.731,0.501,-0.117,-1.266,-0.346,1.483,-6.601,-12.067,-4.790,8975.000,14.290,1.296700,-4.801,139.600000,-0.036,0.060,8.610,8.810,77.776
"19 ABR2005",2.116,2.485,2.943,3.484,4.840,3.665,4.062,1.591,0.017,1.198,0.833,3.467,103.930,0.170,0.224,0.315,0.526,1.613,-0.381,12.850,-1.086,-1.564,5.112,14.536,8.943,2.555,0.208,-1.209,-0.256,0.145,-6.080,-11.174,-3.681,8987.000,13.660,1.299600,-4.589,139.540000,-0.079,0.060,8.600,8.900,77.763
"20 ABR2005",2.105,2.454,2.911,3.484,4.750,3.637,4.046,1.754,0.022,1.181,0.818,3.462,103.860,0.190,0.225,0.306,0.496,1.387,-0.707,12.740,-1.193,-2.177,5.006,14.820,8.870,3.763,-0.234,-1.820,-0.429,0.736,-7.147,-12.029,-3.483,8967.500,13.720,1.304900,-4.199,139.500000,-0.107,0.060,8.650,8.900,77.789
"21 ABR2005",2.098,2.445,2.907,3.484,4.830,3.644,4.044,1.940,0.004,1.159,0.807,3.480,103.740,0.195,0.222,0.315,0.506,1.450,-0.684,12.720,-0.946,-2.457,5.164,15.119,9.128,2.024,-0.030,-1.466,0.016,0.039,-5.234,-9.792,-4.390,8973.500,13.740,1.305800,-4.133,140.270000,0.444,0.060,8.450,8.900,77.851
"22 ABR2005",2.103,2.455,2.932,3.491,4.850,3.642,4.044,1.896,0.023,1.173,0.854,3.468,103.730,0.190,0.227,0.305,0.499,2.255,0.172,12.860,-0.079,-1.484,5.778,15.501,9.580,3.537,0.852,-0.776,0.512,-0.010,-5.234,-11.182,-3.854,9047.000,12.800,1.307700,-3.994,138.960000,-0.494,0.060,8.300,8.890,77.801
"25 ABR2005",2.090,2.407,2.909,3.470,4.850,3.622,4.048,2.029,0.017,1.169,0.833,3.453,103.920,0.209,0.230,0.353,0.520,2.354,0.280,13.200,-0.090,-1.527,6.161,15.558,9.799,5.119,1.213,-0.214,0.660,0.606,-5.799,-10.327,-3.612,9059.000,13.200,1.296600,-4.809,137.310000,-1.676,0.060,8.470,8.820,77.645
"26 ABR2005",2.099,2.442,2.837,3.461,4.850,3.601,4.019,2.013,0.029,1.177,0.853,3.433,103.960,0.202,0.221,0.298,0.489,2.154,0.032,12.760,-0.367,-1.875,6.114,15.538,9.678,7.311,1.084,-0.524,0.496,0.929,-5.013,-11.400,-3.942,9032.000,13.090,1.298100,-4.699,137.540000,-1.511,0.060,8.310,8.710,77.684
"27 ABR2005",2.099,2.437,2.886,3.453,4.840,3.601,"_",2.014,-0.001,1.181,0.883,3.454,104.240,0.184,0.221,0.323,0.517,1.036,-1.055,12.920,-1.215,-2.838,4.577,14.351,8.715,5.021,-0.292,-1.576,-0.759,0.527,-5.860,-11.263,-4.207,8937.000,13.800,1.292000,-5.146,137.350000,-1.647,0.050,8.320,8.700,77.630
"28 ABR2005",2.099,2.416,2.860,3.427,4.750,"_",3.994,2.101,0.019,1.191,0.855,3.408,104.300,0.187,0.211,0.294,0.503,1.025,-1.051,12.910,-1.267,-2.559,4.295,13.954,7.984,3.655,-0.690,-1.832,-0.999,-0.637,-5.418,-12.469,-4.177,8936.000,13.630,1.290500,-5.257,136.630000,-2.163,0.060,8.170,8.700,77.576
"29 ABR2005","_",2.416,2.868,3.423,8.510,3.573,3.975,1.601,-0.009,1.183,0.817,3.433,104.330,"_","_",0.304,0.517,1.143,-0.872,10.180,-0.745,-2.822,4.539,13.722,7.284,1.887,-0.716,-1.674,-0.740,-0.620,-5.476,-11.666,"_",8945.500,13.730,1.295700,-4.875,136.240000,-2.442,-0.100,8.610,8.810,77.599
"02 MAY2005","_","_",2.861,3.422,8.510,3.576,"_",1.601,0.021,1.187,0.840,3.401,104.250,"_","_","_",0.498,2.448,0.431,10.180,0.571,-1.696,5.945,14.698,8.410,3.704,-0.073,-0.753,0.074,"_",-4.927,-11.344,-4.236,9093.500,13.720,1.286300,-5.565,135.540000,-2.943,-0.100,8.610,8.810,77.520
"03 MAY2005","_",2.394,2.825,3.423,4.750,3.563,"_",1.717,0.028,1.175,0.847,3.395,104.490,0.184,"_",0.286,0.487,2.945,0.964,12.950,0.814,-0.681,6.277,15.017,8.268,3.832,0.385,-0.248,0.330,-0.382,-4.927,-11.141,"_",9151.000,13.520,1.285600,-5.616,135.230000,-3.165,0.100,8.370,8.670,77.560
"04 MAY2005",2.044,2.377,2.838,3.427,4.800,3.590,4.001,2.467,0.029,1.175,0.837,3.398,104.130,0.183,0.236,0.303,0.483,3.196,1.265,12.970,1.013,-0.325,6.611,15.049,8.049,5.994,1.010,0.194,0.432,0.853,-4.879,-9.801,"_",9175.500,12.470,1.295300,-4.904,135.210000,-3.179,0.100,8.260,8.610,77.622
"05 MAY2005","_",2.376,2.845,3.432,4.670,"_","_",2.468,0.032,1.175,0.850,3.400,104.330,"_","_",0.304,0.488,3.616,1.704,12.690,1.633,-0.036,7.007,15.408,8.234,8.500,1.805,1.020,0.878,1.295,-3.694,-9.821,"_",9215.000,12.150,1.295400,-4.897,135.280000,-3.129,0.100,8.150,8.580,77.614
"06 MAY2005",2.035,"_",2.837,3.418,4.810,3.611,3.971,2.537,0.035,1.186,0.830,3.384,103.950,0.190,0.255,"_",0.482,3.970,2.008,12.690,1.728,0.355,7.614,16.217,8.401,9.571,2.305,1.292,0.807,1.705,-4.105,-9.565,-2.582,9229.000,11.640,1.294700,-4.948,135.710000,-2.821,0.100,8.070,8.490,77.635
"09 MAY2005",2.136,2.404,2.823,3.417,4.790,3.626,3.975,1.557,-0.016,1.192,0.896,3.433,104.190,"_",0.154,0.306,0.533,3.611,1.571,12.700,1.487,-0.414,7.423,16.523,9.145,9.227,1.893,0.854,0.561,2.050,-4.058,-8.999,-2.763,9189.000,12.270,1.282400,-5.851,135.460000,-3.000,0.100,8.230,8.500,77.550
"10 MAY2005","_",2.388,2.818,3.422,4.890,3.562,3.953,2.540,0.037,1.194,0.923,3.386,104.640,0.190,"_",0.302,0.488,2.872,0.719,12.830,0.924,-1.761,6.926,16.395,8.982,8.519,1.090,-0.116,-0.397,1.871,-3.697,-9.776,-2.866,9116.500,12.760,1.285400,-5.631,135.860000,-2.714,0.100,8.200,8.520,77.594
"11 MAY2005","_",2.356,2.764,3.374,4.930,3.511,3.907,2.566,0.025,1.155,0.924,3.348,104.970,"_","_",0.304,0.496,2.892,0.761,12.840,0.895,-1.509,6.762,16.181,8.853,6.348,0.653,-0.280,-0.256,1.500,-4.655,-9.372,-3.204,9124.500,13.100,1.288200,-5.425,135.700000,-2.828,0.190,8.270,8.560,77.618
"12 MAY2005","_",2.355,2.775,3.365,4.933,3.530,"_",2.416,0.063,1.117,0.905,3.301,104.900,0.192,"_",0.305,0.495,3.647,1.457,12.450,1.701,-0.869,7.597,17.526,9.377,8.136,1.418,0.258,0.423,1.147,-4.477,-9.725,-3.576,9191.500,12.610,1.277100,-6.240,135.660000,-2.857,0.300,8.410,8.700,77.551
"13 MAY2005","_",2.362,2.800,3.341,4.940,3.489,3.888,2.539,0.008,1.110,0.879,3.333,105.140,0.175,"_",0.328,0.509,3.753,1.560,12.460,1.035,0.285,7.416,17.471,9.038,6.859,1.467,0.461,0.628,1.517,-5.504,-9.132,-3.827,9241.000,12.750,1.263500,-7.239,135.200000,-3.187,0.330,8.460,8.690,77.424
"16 MAY2005","_",2.368,2.800,3.349,4.870,"_","_",2.791,"_","_","_","_",105.070,0.200,"_",0.322,0.481,3.732,1.508,12.380,1.165,0.073,7.416,17.658,8.797,6.230,1.251,0.143,0.503,1.378,-5.962,-8.321,-4.714,9233.500,14.340,1.261600,-7.378,135.630000,-2.879,0.320,8.660,8.740,77.514
"17 MAY2005","_",2.374,2.789,3.344,4.820,3.507,3.886,2.898,0.019,1.112,0.847,3.325,105.130,0.168,"_",0.296,0.496,3.656,1.459,12.310,1.556,-0.381,7.245,17.370,8.741,6.790,1.105,-0.101,-0.368,1.330,-4.922,-7.874,-5.774,9219.500,14.390,1.263600,-7.231,135.520000,-2.957,0.340,8.540,8.720,77.526
"18 MAY2005","_",2.364,2.752,3.328,4.810,3.480,3.871,3.064,0.018,1.119,0.851,3.310,105.330,0.175,"_",0.306,0.502,5.172,3.121,12.940,2.932,1.272,9.065,18.170,9.678,10.632,2.882,1.610,1.153,1.627,-4.184,-6.656,-5.687,9370.500,14.750,1.262100,-7.342,135.440000,-3.015,0.300,8.300,8.590,77.522
"19 MAY2005","_",2.372,2.770,3.330,4.340,3.478,3.828,3.043,0.025,1.107,0.830,3.305,105.110,"_","_",0.298,0.490,5.599,3.516,12.960,3.290,1.861,9.303,18.600,10.044,12.587,3.407,2.452,1.413,2.683,-2.954,-6.656,-3.583,9414.000,15.010,1.264200,-7.187,135.620000,-2.886,0.300,8.090,8.550,77.522
"20 MAY2005","_",2.404,2.793,3.332,4.350,3.496,"_",3.036,-0.039,1.068,0.800,3.372,104.840,"_","_",0.286,0.558,5.358,3.168,12.900,3.118,1.035,9.443,18.862,9.850,12.636,3.362,2.458,1.611,2.958,-2.688,-5.931,-3.930,9381.000,14.340,1.260700,-7.444,135.980000,-2.628,0.390,8.030,8.470,77.514
"23 MAY2005","_",2.430,2.854,3.370,4.370,"_","_",3.117,-0.014,1.052,0.798,3.384,105.220,"_","_",0.300,0.540,5.658,3.482,12.550,3.367,1.570,9.625,19.258,10.018,12.754,4.057,3.545,1.521,3.147,-2.885,-5.461,-2.873,9413.000,14.510,1.254800,-7.878,135.450000,-3.008,0.370,8.300,8.600,77.452
"24 MAY2005","_",2.355,2.718,3.295,4.350,3.451,3.785,3.233,-0.001,1.071,0.772,3.296,105.470,"_","_",0.285,0.515,5.583,3.211,12.570,3.237,1.110,9.746,20.211,9.833,12.921,3.907,3.303,1.291,3.521,-2.406,-5.232,-3.091,9380.500,14.340,1.261700,-7.371,135.390000,-3.050,0.390,8.250,8.570,77.503
"25 MAY2005","_","_",2.710,3.274,4.340,3.437,3.792,3.121,-0.005,1.078,0.781,3.279,105.630,0.175,"_","_",0.526,5.423,2.979,12.590,2.881,0.574,10.171,20.721,9.898,13.973,3.680,3.136,1.342,3.369,-2.590,-5.761,-4.129,9356.000,14.210,1.256400,-7.760,135.330000,-3.093,0.280,8.200,8.550,77.468
"26 MAY2005","_","_",2.772,3.317,4.340,3.463,3.837,3.100,-0.001,1.090,0.810,3.318,105.420,0.167,"_","_",0.523,6.202,3.712,12.500,3.561,1.273,11.221,22.203,10.620,15.447,4.569,4.241,2.015,3.141,-3.016,-4.790,-4.011,9426.000,14.280,1.252300,-8.061,135.580000,-2.914,0.300,8.340,8.600,77.449
"27 MAY2005","_",2.316,2.693,3.302,4.340,3.482,3.865,3.407,-0.016,1.114,0.798,3.318,105.230,0.182,"_",0.294,0.538,5.804,3.311,12.520,3.038,0.911,10.898,21.752,10.255,16.243,4.498,4.432,1.771,3.626,-2.276,-4.583,-2.580,9380.000,14.330,1.255100,-7.856,135.270000,-3.136,0.240,8.400,8.650,77.450
"30 MAY2005","_",2.317,2.758,3.329,4.340,3.490,3.908,3.459,-0.012,"_","_",3.341,105.260,0.170,"_",0.303,0.531,6.691,4.251,12.410,3.811,1.828,11.988,22.342,10.831,19.102,4.923,5.271,2.316,"_","_","_",-1.936,9478.000,14.650,1.247200,-8.436,134.680000,-3.559,0.240,0.000,0.000,77.352
"31 MAY2005","_",2.309,2.721,3.302,4.350,"_",3.869,3.305,0.001,1.084,0.787,3.301,105.840,0.168,"_",0.291,0.518,6.376,3.814,12.430,3.309,1.472,11.770,22.803,10.659,18.532,4.251,4.806,1.791,3.448,-2.230,-4.929,-1.847,9440.000,14.650,1.233100,-9.471,133.470000,-4.425,0.240,9.030,8.980,77.135
"01 JUN2005","_",2.251,2.648,3.264,4.420,3.440,3.843,3.392,-0.001,1.073,0.735,3.266,106.180,0.175,"_",0.299,0.526,7.681,5.176,12.800,4.690,2.934,12.965,23.704,10.990,20.389,5.918,6.369,2.988,2.985,-2.926,-4.026,-1.385,9561.000,14.670,1.222800,-10.227,132.840000,-4.876,0.490,9.390,9.330,77.025
"02 JUN2005","_",2.243,2.586,3.223,4.290,3.416,3.809,3.159,-0.005,1.060,0.713,3.228,106.270,0.175,"_",0.267,0.517,7.551,5.054,12.440,4.643,2.814,12.673,23.290,10.878,21.608,6.092,6.487,3.001,3.960,-2.162,-3.569,-1.817,9549.000,15.090,1.226300,-9.970,132.720000,-4.962,0.460,9.170,9.360,77.043
"03 JUN2005","_",2.204,2.628,3.208,4.300,3.370,3.789,3.455,0.002,1.070,0.733,3.206,106.140,"_","_",0.306,0.522,7.153,4.591,12.490,4.312,2.253,12.438,23.814,10.568,22.128,5.524,5.975,2.450,3.836,-2.129,-4.781,-1.643,9498.000,14.350,1.228900,-9.779,132.570000,-5.070,0.460,8.860,9.220,77.056
"06 JUN2005","_",2.214,2.614,3.212,4.167,3.375,3.756,3.655,-0.004,1.096,0.786,3.216,106.220,0.190,"_",0.286,0.518,6.785,4.059,12.400,3.684,1.735,12.302,24.287,9.876,18.218,5.013,5.667,2.111,3.720,-2.987,-4.582,-1.899,9456.000,14.830,1.227200,-9.904,131.440000,-5.879,0.470,9.030,9.270,76.996
"07 JUN2005","_",2.181,2.717,3.168,4.149,3.316,3.691,3.821,-0.011,1.117,0.775,3.179,106.700,0.160,"_",0.299,0.532,7.768,5.007,12.450,4.887,2.595,13.133,25.657,11.282,18.031,6.220,7.282,3.085,3.326,-2.930,-4.977,-2.362,9533.500,14.620,1.228500,-9.808,131.130000,-6.101,0.470,8.770,9.100,76.953
"08 JUN2005","_",2.123,2.559,3.128,4.150,3.276,3.636,3.939,0.002,1.124,0.824,3.126,107.040,"_","_",0.297,0.512,7.294,4.481,12.270,4.484,1.599,12.994,25.132,10.680,17.530,5.908,7.077,3.174,4.255,-2.782,-5.298,-1.808,9489.500,14.600,1.232400,-9.522,131.690000,-5.700,0.380,8.440,8.850,77.000
"09 JUN2005",1.980,2.143,2.545,3.135,4.150,3.291,3.659,4.020,-0.016,1.140,0.857,3.151,107.020,0.190,0.210,0.317,0.535,7.465,4.550,12.270,4.358,1.852,13.219,25.729,10.908,16.193,5.818,7.205,3.363,3.809,-2.839,-4.529,-2.854,9495.000,14.630,1.223900,-10.146,131.370000,-5.929,0.400,8.840,9.060,76.949
"10 JUN2005",1.974,2.127,2.563,3.134,4.160,3.303,3.636,4.254,0.010,1.170,0.894,3.124,106.860,0.181,0.216,0.323,0.516,8.245,5.294,12.360,4.978,2.552,14.247,26.692,11.299,19.013,6.526,7.754,3.722,3.923,-2.597,-5.169,-1.606,9560.500,14.280,1.222900,-10.220,131.420000,-5.893,0.480,8.810,9.090,76.933
"13 JUN2005",1.955,"_",2.562,3.152,4.040,3.290,3.652,4.550,-0.028,1.175,0.928,3.180,106.950,0.180,0.245,"_",0.548,8.375,5.489,12.280,5.580,2.627,14.134,26.922,11.381,20.468,7.068,8.062,4.417,4.363,-2.507,-4.895,-1.543,9580.500,15.480,1.206200,-11.446,131.740000,-5.664,0.580,9.530,9.520,76.823
"14 JUN2005",1.972,2.171,2.558,3.177,4.010,3.336,3.636,4.561,-0.003,1.172,0.943,3.180,106.950,0.179,0.228,0.309,0.533,8.716,5.876,11.580,6.015,2.905,14.513,26.949,11.458,20.438,7.171,7.885,4.676,4.778,-2.183,-4.891,-1.330,9608.000,"_",1.211000,-11.093,132.330000,-5.242,0.450,9.520,9.520,76.886
