"","SI_1_2.1","SI_1_2.2","SI_1_2.3","SI_1_2.4","SI_1_2.5","SI_1_2.6","SI_1_2.7","SI_1_2.8","SI_1_2.9","SI_1_2.10","SI_1_2.11","SI_1_2.12","SI_1_2.13","SI_1_2.14","SI_1_2.15","SI_1_2.16","SI_1_2.17","SI_1_2.18","SI_1_2.19","SI_1_2.20","SI_1_2.21","SI_1_2.22","SI_1_2.23","SI_1_2.24","SI_1_2.25","SI_1_2.26","SI_1_2.27","SI_1_2.28","SI_1_2.29","SI_1_2.30","SI_1_2.31","SI_1_2.32","SI_1_2.33","SI_1_2.34","SI_1_2.35","SI_1_2.36","SI_1_2.37","SI_1_2.38","SI_1_2.39","SI_1_2.40","SI_1_2.41","SI_1_2.42","SI_1_2.43"
"12 ENE2000",3.829,4.779,5.237,5.778,25.169,6.039,6.270,-0.497,0.217,0.283,1.228,5.561,86.500,0.280,0.181,0.221,0.402,-4.732,-6.783,21.459,-5.470,-5.591,-8.253,-0.416,"_",-0.558,-5.203,-0.651,-6.159,-5.734,0.470,-5.389,-1.357,10907.000,31.260,1.030800,2.608,109.100000,6.201,0.750,11.125,11.025,74.628
"13 ENE2000",3.785,4.792,5.150,5.764,25.194,6.023,6.267,-0.544,0.211,0.289,1.242,5.553,86.860,0.240,0.275,0.188,0.396,-3.745,-6.095,21.503,-2.764,-6.376,-9.158,-0.881,"_",1.902,-4.406,-0.031,-5.508,-5.753,0.742,-2.755,-0.534,10957.500,30.480,1.027600,2.289,108.890000,5.996,0.600,10.450,10.500,74.589
"14 ENE2000",3.800,4.714,5.201,5.724,25.182,6.000,6.250,-0.684,0.208,0.257,1.232,5.516,86.640,0.210,0.260,0.216,0.376,-1.303,-3.929,21.662,-1.174,-4.293,-6.493,-0.293,"_",-1.050,-1.531,3.091,-2.498,-3.925,"_",-0.124,0.117,11255.000,27.440,1.022500,1.782,108.050000,5.179,0.500,10.400,10.450,74.481
"17 ENE2000",3.780,4.768,5.246,5.768,25.120,5.940,6.314,-0.986,0.199,0.266,1.226,5.569,86.520,0.180,0.270,0.092,0.412,0.600,-3.056,21.607,"_","_","_",-1.288,"_",-1.713,"_","_","_","_","_","_","_",11265.500,31.950,1.009400,0.478,105.810000,2.998,0.300,10.900,10.700,74.257
"18 ENE2000",3.820,4.804,5.285,5.824,25.146,6.067,6.351,-0.942,0.183,0.299,1.188,5.641,85.940,0.225,0.230,0.116,0.436,-0.807,-4.940,21.690,-0.035,-8.084,-7.948,-2.141,"_",-3.719,-2.925,1.638,-3.352,-6.141,0.553,1.511,1.385,11063.000,32.050,1.009300,0.468,106.420000,3.592,0.300,10.900,10.850,74.268
"19 ENE2000",3.787,4.694,5.297,5.861,25.182,6.113,6.368,-0.701,0.238,0.279,1.225,5.623,86.300,0.250,0.263,0.206,0.379,-1.197,-4.473,21.613,-0.180,-8.265,-6.080,-1.922,"_",-3.813,-2.775,1.910,-2.387,-6.995,-0.067,2.015,-0.193,11141.000,32.100,1.010500,0.587,106.990000,4.147,0.250,10.800,10.800,74.291
"20 ENE2000",3.817,4.781,5.305,5.841,25.161,6.079,6.330,-1.013,0.177,0.325,1.247,5.664,86.310,"_","_","_","_",-1.901,-5.101,21.571,-0.767,-7.791,-7.673,-1.898,"_",-3.653,-2.564,2.221,-1.742,-8.391,-1.268,2.954,0.389,10994.500,32.110,1.008900,0.428,106.440000,3.611,0.300,10.750,10.800,74.212
"21 ENE2000",3.749,4.703,5.233,5.800,25.080,6.042,6.274,-1.233,0.222,0.285,1.320,5.577,86.400,"_",0.311,0.167,0.390,-2.995,-5.773,21.678,-1.157,-9.197,-7.908,-2.059,"_",-3.501,-3.776,0.497,-1.568,-8.425,-2.135,4.082,-0.297,10933.700,"_",1.009700,0.508,105.530000,2.726,0.300,10.775,10.800,74.168
"24 ENE2000",3.751,4.797,5.293,5.797,24.991,5.998,6.288,-1.221,0.243,0.290,1.329,5.554,86.410,0.249,0.319,0.083,0.353,-2.954,-5.896,21.303,-1.880,-8.712,-7.669,-1.621,"_",-4.192,-3.786,-0.376,-0.898,-7.942,-4.253,0.658,0.646,10943.500,28.040,1.002700,-0.189,105.540000,2.735,0.300,10.900,10.800,74.054
"25 ENE2000",3.752,4.787,5.234,5.746,24.940,5.973,6.228,-1.125,0.220,0.266,1.267,5.526,86.910,"_",0.328,0.093,0.404,-3.473,-6.682,21.307,-3.542,-7.690,-8.849,-1.729,"_",-7.466,-5.115,-2.134,-3.042,-9.467,-4.064,2.411,-0.205,10857.000,29.010,1.000800,-0.378,105.690000,2.881,0.175,10.500,10.650,74.061
