"","SI_2_2.1","SI_2_2.2","SI_2_2.3","SI_2_2.4","SI_2_2.5","SI_2_2.6","SI_2_2.7","SI_2_2.8","SI_2_2.9","SI_2_2.10","SI_2_2.11","SI_2_2.12","SI_2_2.13"
"NÚMERO SECUENCIAL",905832,905833,905834,905835,905836,905837,3775808,905838,905839,905840,905841,905842,905843
"DESCRIPCIÓN DE LA SERIE","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MÍNIMO","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. VARIACIÓN DEL TIPO MÍNIMO","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MARGINAL","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MEDIO","INTERVENCIÓN BCE. TIPO FACILIDAD DE CRÉDITO","INTERVENCIÓN BCE. TIPO FACILIDAD DE DEPÓSITO","ECONOMIA MUNDIAL. TIPO DE INTERÉS DÍA A DÍA. MERCADOS UEM. INTERBANCARIO. ESTER. BCE. ","MERCADOS MONETARIOS. TIPO EONIA","MERCADOS MONETARIOS. EURIBOR 1 MES","MERCADOS MONETARIOS. EURIBOR 3 MESES","MERCADOS MONETARIOS. EURIBOR 6 MESES","MERCADOS MONETARIOS. EURIBOR 12 MESES","FUTUROS EURIBOR 3 MESES. PRIMER VENCIMIENTO"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Céntimos de Euros","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"23 JUN2017","_","_","_","_",0.250,-0.400,"_",-0.362,-0.374,-0.331,-0.273,-0.163,100.330
"26 JUN2017","_","_","_","_",0.250,-0.400,"_",-0.362,-0.374,-0.331,-0.273,-0.161,100.325
"27 JUN2017",0.000,"_",0.000,0.000,0.250,-0.400,"_",-0.362,-0.373,-0.331,-0.273,-0.161,100.325
"28 JUN2017","_","_","_","_",0.250,-0.400,"_",-0.362,-0.372,-0.331,-0.271,-0.158,100.330
"29 JUN2017","_","_","_","_",0.250,-0.400,"_",-0.360,-0.373,-0.331,-0.270,-0.156,100.325
"30 JUN2017","_","_","_","_",0.250,-0.400,"_",-0.350,-0.373,-0.331,-0.271,-0.156,100.330
"03 JUL2017","_","_","_","_",0.250,-0.400,"_",-0.356,-0.373,-0.331,-0.271,-0.157,100.330
"04 JUL2017",0.000,"_",0.000,0.000,0.250,-0.400,"_",-0.357,-0.373,-0.329,-0.272,-0.159,100.325
"05 JUL2017","_","_","_","_",0.250,-0.400,"_",-0.357,-0.373,-0.331,-0.274,-0.160,100.330
"06 JUL2017","_","_","_","_",0.250,-0.400,"_",-0.359,-0.373,-0.330,-0.273,-0.161,100.335
"07 JUL2017","_","_","_","_",0.250,-0.400,"_",-0.359,-0.372,-0.331,-0.272,-0.161,100.335
"10 JUL2017","_","_","_","_",0.250,-0.400,"_",-0.360,-0.374,-0.331,-0.273,-0.156,100.330
"11 JUL2017",0.000,"_",0.000,0.000,0.250,-0.400,"_",-0.360,-0.374,-0.331,-0.273,-0.155,100.330
"12 JUL2017","_","_","_","_",0.250,-0.400,"_",-0.359,-0.374,-0.331,-0.273,-0.154,100.325
"13 JUL2017","_","_","_","_",0.250,-0.400,"_",-0.360,-0.373,-0.331,-0.273,-0.151,100.330
"14 JUL2017","_","_","_","_",0.250,-0.400,"_",-0.361,-0.373,-0.331,-0.273,-0.151,100.330
"17 JUL2017","_","_","_","_",0.250,-0.400,"_",-0.362,-0.373,-0.330,-0.274,-0.151,100.335
"18 JUL2017",0.000,"_",0.000,0.000,0.250,-0.400,"_",-0.362,-0.374,-0.331,-0.274,-0.151,100.335
"19 JUL2017","_","_","_","_",0.250,-0.400,"_",-0.362,-0.373,-0.332,-0.274,-0.151,100.335
"20 JUL2017","_","_","_","_",0.250,-0.400,"_",-0.362,-0.374,-0.332,-0.274,-0.151,100.330
"21 JUL2017","_","_","_","_",0.250,-0.400,"_",-0.361,-0.374,-0.331,-0.272,-0.152,100.335
"24 JUL2017","_","_","_","_",0.250,-0.400,"_",-0.361,-0.374,-0.329,-0.271,-0.153,100.325
"25 JUL2017",0.000,"_",0.000,0.000,0.250,-0.400,"_",-0.362,-0.371,-0.329,-0.272,-0.153,100.325
"26 JUL2017","_","_","_","_",0.250,-0.400,"_",-0.361,-0.372,-0.330,-0.272,-0.153,100.325
"27 JUL2017","_","_","_","_",0.250,-0.400,"_",-0.361,-0.371,-0.329,-0.272,-0.153,100.325
"28 JUL2017","_","_","_","_",0.250,-0.400,"_",-0.359,-0.371,-0.329,-0.272,-0.152,100.325
"31 JUL2017","_","_","_","_",0.250,-0.400,"_",-0.348,-0.370,-0.330,-0.271,-0.151,100.330
"01 AGO2017",0.000,"_",0.000,0.000,0.250,-0.400,"_",-0.356,-0.371,-0.331,-0.272,-0.151,100.330
"02 AGO2017","_","_","_","_",0.250,-0.400,"_",-0.354,-0.373,-0.331,-0.273,-0.153,100.330
"03 AGO2017","_","_","_","_",0.250,-0.400,"_",-0.350,-0.372,-0.329,-0.272,-0.152,100.330
"04 AGO2017","_","_","_","_",0.250,-0.400,"_",-0.356,-0.372,-0.329,-0.271,-0.151,100.330
