"","SI_2_2.1","SI_2_2.2","SI_2_2.3","SI_2_2.4","SI_2_2.5","SI_2_2.6","SI_2_2.7","SI_2_2.8","SI_2_2.9","SI_2_2.10","SI_2_2.11","SI_2_2.12","SI_2_2.13"
"NÚMERO SECUENCIAL",905832,905833,905834,905835,905836,905837,3775808,905838,905839,905840,905841,905842,905843
"DESCRIPCIÓN DE LA SERIE","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MÍNIMO","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. VARIACIÓN DEL TIPO MÍNIMO","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MARGINAL","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MEDIO","INTERVENCIÓN BCE. TIPO FACILIDAD DE CRÉDITO","INTERVENCIÓN BCE. TIPO FACILIDAD DE DEPÓSITO","ECONOMIA MUNDIAL. TIPO DE INTERÉS DÍA A DÍA. MERCADOS UEM. INTERBANCARIO. ESTER. BCE. ","MERCADOS MONETARIOS. TIPO EONIA","MERCADOS MONETARIOS. EURIBOR 1 MES","MERCADOS MONETARIOS. EURIBOR 3 MESES","MERCADOS MONETARIOS. EURIBOR 6 MESES","MERCADOS MONETARIOS. EURIBOR 12 MESES","FUTUROS EURIBOR 3 MESES. PRIMER VENCIMIENTO"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Céntimos de Euros","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"03 ENE2000","_","_","_","_",4.000,2.000,"_",3.060,3.171,3.338,3.523,3.885,"_"
"04 ENE2000","_","_","_","_",4.000,2.000,"_",3.010,3.159,3.343,3.553,3.952,96.335
"05 ENE2000","_","_","_","_",4.000,2.000,"_","_",3.151,3.341,3.550,3.955,96.345
"06 ENE2000","_","_","_","_","_","_","_",2.920,"_","_","_","_",96.355
"07 ENE2000","_","_","_","_",4.000,2.000,"_",2.890,3.116,3.322,3.546,3.941,96.375
"10 ENE2000","_","_","_","_",4.000,2.000,"_",2.980,3.114,3.317,3.534,3.914,96.395
"11 ENE2000",3.000,0.000,3.000,3.000,4.000,2.000,"_",3.010,3.114,3.315,3.532,3.913,96.370
"12 ENE2000","_","_","_","_",4.000,2.000,"_",3.070,3.128,3.322,3.545,3.948,96.375
"13 ENE2000","_","_","_","_",4.000,2.000,"_",3.040,3.128,3.322,3.544,3.946,96.385
"14 ENE2000","_","_","_","_",4.000,2.000,"_",3.030,3.125,3.321,3.539,3.932,96.410
"17 ENE2000","_","_","_","_",4.000,2.000,"_",3.020,3.122,3.316,3.529,3.921,96.410
"18 ENE2000",3.000,0.000,3.000,3.000,4.000,2.000,"_",2.980,3.120,3.313,3.529,3.925,96.395
"19 ENE2000","_","_","_","_",4.000,2.000,"_",2.850,3.104,3.308,3.531,3.939,96.425
"20 ENE2000","_","_","_","_",4.000,2.000,"_",2.950,3.120,3.310,3.530,3.930,96.425
"21 ENE2000","_","_","_","_",4.000,2.000,"_",3.150,3.121,3.310,3.527,3.921,96.415
"24 ENE2000","_","_","_","_",4.000,2.000,"_",3.110,3.126,3.317,3.532,3.934,96.380
"25 ENE2000",3.000,0.000,3.000,3.000,4.000,2.000,"_",3.090,3.127,3.322,3.538,3.935,96.385
"26 ENE2000","_","_","_","_",4.000,2.000,"_",3.060,3.131,3.332,3.551,3.948,96.330
"27 ENE2000","_","_","_","_",4.000,2.000,"_",3.100,3.243,3.428,3.635,4.017,96.285
"28 ENE2000","_","_","_","_",4.000,2.000,"_",3.300,3.298,3.486,3.680,4.062,96.295
"31 ENE2000","_","_","_","_",4.000,2.000,"_",3.290,3.306,3.492,3.682,4.068,96.310
"01 FEB2000",3.000,0.000,3.000,3.000,4.000,2.000,"_",3.260,3.313,3.496,3.697,4.079,96.310
"02 FEB2000","_","_","_","_",4.000,2.000,"_",3.180,3.295,3.489,3.686,4.064,96.305
"03 FEB2000","_","_","_","_",4.000,2.000,"_",3.190,3.302,3.498,3.693,4.065,96.345
"04 FEB2000","_","_","_","_",4.250,2.250,"_",3.260,3.321,3.493,3.691,4.049,96.355
"07 FEB2000","_","_","_","_",4.250,2.250,"_",3.250,3.325,3.496,3.692,4.061,96.340
"08 FEB2000",3.250,0.250,3.250,3.250,4.250,2.250,"_",3.250,3.323,3.496,3.695,4.080,96.360
"09 FEB2000","_","_","_","_",4.250,2.250,"_",3.240,3.322,3.492,3.693,4.073,96.355
"10 FEB2000","_","_","_","_",4.250,2.250,"_",3.240,3.321,3.487,3.693,4.076,96.360
"11 FEB2000","_","_","_","_",4.250,2.250,"_",3.250,3.321,3.491,3.694,4.083,96.355
"14 FEB2000","_","_","_","_",4.250,2.250,"_",3.250,3.320,3.490,3.693,4.083,96.360
"15 FEB2000",3.250,0.000,3.250,3.250,4.250,2.250,"_",3.250,3.319,3.487,3.692,4.081,96.360
"16 FEB2000","_","_","_","_",4.250,2.250,"_",3.250,3.321,3.488,3.696,4.086,96.355
"17 FEB2000","_","_","_","_",4.250,2.250,"_",3.230,3.319,3.489,3.702,4.096,96.335
"18 FEB2000","_","_","_","_",4.250,2.250,"_",3.200,3.346,3.531,3.746,4.157,96.265
"21 FEB2000","_","_","_","_",4.250,2.250,"_",3.200,3.429,3.612,3.803,4.208,96.260
"22 FEB2000",3.250,0.000,3.250,3.250,4.250,2.250,"_",3.220,3.437,3.625,3.817,4.206,96.290
"23 FEB2000","_","_","_","_",4.250,2.250,"_",3.480,3.453,3.632,3.818,4.192,96.270
"24 FEB2000","_","_","_","_",4.250,2.250,"_",3.410,3.449,3.632,3.816,4.177,96.330
"25 FEB2000","_","_","_","_",4.250,2.250,"_",3.340,3.408,3.598,3.777,4.113,96.325
"28 FEB2000","_","_","_","_",4.250,2.250,"_",3.370,3.440,3.616,3.811,4.155,96.305
"29 FEB2000",3.250,0.000,3.250,3.250,4.250,2.250,"_",3.470,3.458,3.634,3.823,4.156,96.300
"01 MAR2000","_","_","_","_",4.250,2.250,"_",3.370,3.443,3.633,3.822,4.165,96.305
"02 MAR2000","_","_","_","_",4.250,2.250,"_",3.330,3.459,3.642,3.837,4.191,96.335
"03 MAR2000","_","_","_","_",4.250,2.250,"_",3.280,3.428,3.632,3.833,4.196,96.325
"06 MAR2000",3.250,0.000,3.250,3.250,4.250,2.250,"_",3.290,3.433,3.640,3.843,4.215,96.320
"07 MAR2000","_","_","_","_",4.250,2.250,"_",3.310,3.440,3.646,3.850,4.219,96.320
"08 MAR2000","_","_","_","_",4.250,2.250,"_",3.350,3.475,3.669,3.875,4.248,96.300
"09 MAR2000","_","_","_","_",4.250,2.250,"_",3.470,3.528,3.714,3.918,4.272,96.275
"10 MAR2000","_","_","_","_",4.250,2.250,"_",3.520,3.550,3.736,3.925,4.261,96.245
"13 MAR2000","_","_","_","_",4.250,2.250,"_",3.540,3.647,3.779,3.971,4.301,96.220
"14 MAR2000",3.250,0.000,3.250,3.250,4.250,2.250,"_",3.530,3.648,3.786,3.979,4.306,95.805
"15 MAR2000","_","_","_","_",4.250,2.250,"_",3.500,3.653,3.794,3.988,4.317,95.825
"16 MAR2000","_","_","_","_",4.250,2.250,"_",3.490,3.662,3.805,3.995,4.327,95.875
"17 MAR2000","_","_","_","_",4.500,2.500,"_",3.490,3.625,3.771,3.969,4.287,95.890
"20 MAR2000","_","_","_","_",4.500,2.500,"_",3.480,3.623,3.769,3.957,4.270,95.915
"21 MAR2000",3.500,0.250,3.500,3.500,4.500,2.500,"_",3.490,3.622,3.766,3.946,4.254,95.925
"22 MAR2000","_","_","_","_",4.500,2.500,"_",3.580,3.627,3.766,3.946,4.257,95.905
"23 MAR2000","_","_","_","_",4.500,2.500,"_",3.860,3.637,3.767,3.946,4.256,95.910
"24 MAR2000","_","_","_","_",4.500,2.500,"_",3.590,3.642,3.772,3.950,4.262,95.880
"27 MAR2000","_","_","_","_",4.500,2.500,"_",3.600,3.665,3.797,3.986,4.305,95.855
"28 MAR2000",3.500,0.000,3.500,3.500,4.500,2.500,"_",3.600,3.673,3.812,3.989,4.306,95.895
"29 MAR2000","_","_","_","_",4.500,2.500,"_",3.620,3.682,3.821,3.993,4.308,95.865
"30 MAR2000","_","_","_","_",4.500,2.500,"_",3.700,3.698,3.834,4.014,4.326,95.895
"31 MAR2000","_","_","_","_",4.500,2.500,"_",3.750,3.692,3.831,4.001,4.303,95.920
"03 ABR2000","_","_","_","_",4.500,2.500,"_",3.600,3.694,3.833,4.002,4.304,95.915
"04 ABR2000",3.500,0.000,3.500,3.500,4.500,2.500,"_",3.600,3.695,3.834,3.999,4.301,95.910
"05 ABR2000","_","_","_","_",4.500,2.500,"_",3.580,3.692,3.832,3.993,4.285,95.965
"06 ABR2000","_","_","_","_",4.500,2.500,"_",3.580,3.694,3.834,3.989,4.261,95.920
"07 ABR2000","_","_","_","_",4.500,2.500,"_",3.580,3.735,3.861,4.018,4.295,95.900
"10 ABR2000","_","_","_","_",4.500,2.500,"_",3.590,3.754,3.876,4.031,4.305,95.875
"11 ABR2000",3.500,0.000,3.500,3.500,4.500,2.500,"_",3.640,3.777,3.901,4.045,4.316,95.875
"12 ABR2000","_","_","_","_",4.500,2.500,"_",3.720,3.787,3.917,4.062,4.337,95.855
"13 ABR2000","_","_","_","_",4.500,2.500,"_",3.680,3.786,3.923,4.074,4.348,95.875
"14 ABR2000","_","_","_","_",4.500,2.500,"_",3.610,3.758,3.920,4.065,4.342,95.875
"17 ABR2000","_","_","_","_",4.500,2.500,"_",3.660,3.763,3.918,4.063,4.329,95.890
"18 ABR2000",3.500,0.000,3.500,3.500,4.500,2.500,"_",3.830,3.804,3.937,4.085,4.358,95.875
"19 ABR2000","_","_","_","_",4.500,2.500,"_",3.830,3.824,3.948,4.106,4.375,95.840
"20 ABR2000","_","_","_","_","_","_","_",3.350,3.834,3.963,4.121,4.391,95.805
"21 ABR2000","_","_","_","_","_","_","_","_","_","_","_","_","_"
"24 ABR2000","_","_","_","_",4.500,2.500,"_",3.340,"_","_","_","_","_"
"25 ABR2000","_","_","_","_",4.500,2.500,"_",3.810,3.881,3.998,4.166,4.456,95.780
"26 ABR2000",3.500,0.000,3.500,3.500,4.500,2.500,"_",3.910,3.927,4.036,4.207,4.506,95.815
"27 ABR2000","_","_","_","_",4.500,2.500,"_",3.830,3.899,4.030,4.200,4.487,95.775
"28 ABR2000","_","_","_","_",4.750,2.750,"_",3.930,3.933,4.094,4.262,4.565,95.755
"01 MAY2000","_","_","_","_","_","_","_","_","_","_","_","_","_"
"02 MAY2000","_","_","_","_","_","_","_",3.900,"_","_","_","_",95.675
"03 MAY2000",3.750,0.250,3.750,3.750,4.750,2.750,"_",3.910,4.002,4.183,4.353,4.673,95.615
"04 MAY2000","_","_","_","_",4.750,2.750,"_",3.960,4.099,4.289,4.451,4.752,95.580
"05 MAY2000","_","_","_","_",4.750,2.750,"_",4.030,4.148,4.323,4.490,4.783,95.570
"08 MAY2000","_","_","_","_",4.750,2.750,"_",4.010,4.138,4.314,4.476,4.759,95.595
"09 MAY2000",3.750,0.000,3.750,3.750,4.750,2.750,"_",3.990,4.141,4.319,4.472,4.756,95.605
"10 MAY2000","_","_","_","_",4.750,2.750,"_",3.980,4.128,4.303,4.449,4.726,95.625
"11 MAY2000","_","_","_","_",4.750,2.750,"_",3.930,4.106,4.288,4.436,4.725,95.550
"12 MAY2000","_","_","_","_",4.750,2.750,"_","_",4.119,4.328,4.517,4.839,95.540
"15 MAY2000","_","_","_","_","_","_","_",3.940,"_","_","_","_",95.575
"16 MAY2000",3.750,0.000,3.750,3.750,4.750,2.750,"_",3.980,4.136,4.336,4.524,4.832,95.535
"17 MAY2000","_","_","_","_",4.750,2.750,"_",4.080,4.234,4.432,4.625,4.939,95.415
"18 MAY2000","_","_","_","_",4.750,2.750,"_",4.020,4.266,4.476,4.655,4.986,95.435
"19 MAY2000","_","_","_","_",4.750,2.750,"_",3.790,4.238,4.461,4.653,4.975,95.410
"22 MAY2000","_","_","_","_",4.750,2.750,"_",3.490,4.247,4.481,4.686,5.001,95.445
"23 MAY2000",3.750,0.000,3.750,3.750,4.750,2.750,"_",2.900,4.251,4.471,4.664,4.972,95.460
"24 MAY2000","_","_","_","_",4.750,2.750,"_",4.060,4.232,4.448,4.636,4.942,95.500
"25 MAY2000","_","_","_","_",4.750,2.750,"_",4.030,4.217,4.428,4.627,4.928,95.515
"26 MAY2000","_","_","_","_",4.750,2.750,"_",4.020,4.182,4.401,4.597,4.897,95.550
"29 MAY2000","_","_","_","_",4.750,2.750,"_",4.040,4.185,4.397,4.596,4.890,95.525
"30 MAY2000",3.750,0.000,3.750,3.750,4.750,2.750,"_",4.080,4.198,4.401,4.596,4.892,95.465
"31 MAY2000","_","_","_","_",4.750,2.750,"_",4.200,4.253,4.453,4.665,4.985,95.455
"01 JUN2000","_","_","_","_",4.750,2.750,"_",4.160,4.294,4.467,4.672,4.983,95.480
"02 JUN2000","_","_","_","_",4.750,2.750,"_",4.160,4.275,4.465,4.654,4.960,95.535
"05 JUN2000","_","_","_","_",4.750,2.750,"_",4.160,4.259,4.427,4.611,4.880,95.530
"06 JUN2000",3.750,0.000,3.750,3.750,4.750,2.750,"_",4.130,4.260,4.428,4.613,4.875,95.545
"07 JUN2000","_","_","_","_",4.750,2.750,"_",4.060,4.243,4.412,4.595,4.844,95.565
"08 JUN2000","_","_","_","_",4.750,2.750,"_",4.150,4.242,4.416,4.595,4.844,95.405
"09 JUN2000","_","_","_","_",5.250,3.250,"_",4.330,4.430,4.552,4.748,5.038,95.430
"12 JUN2000","_","_","_","_",5.250,3.250,"_",4.360,4.426,4.549,4.733,5.013,95.435
"13 JUN2000","_","_","_","_",5.250,3.250,"_",4.350,4.417,4.548,4.727,4.998,95.450
"14 JUN2000",4.250,0.500,4.250,4.250,5.250,3.250,"_",4.310,4.402,4.534,4.698,4.969,95.485
"15 JUN2000","_","_","_","_",5.250,3.250,"_",4.260,4.376,4.506,4.665,4.941,95.520
"16 JUN2000","_","_","_","_",5.250,3.250,"_",4.240,4.365,4.476,4.630,4.915,95.525
"19 JUN2000","_","_","_","_",5.250,3.250,"_",4.210,4.361,4.470,4.618,4.890,95.530
"20 JUN2000",4.250,0.000,4.250,4.250,5.250,3.250,"_",4.220,4.381,4.486,4.640,4.925,95.255
"21 JUN2000","_","_","_","_",5.250,3.250,"_",4.380,4.427,4.518,4.681,4.980,95.215
"22 JUN2000","_","_","_","_",5.250,3.250,"_",4.160,4.419,4.518,4.687,4.988,95.200
"23 JUN2000","_","_","_","_",5.250,3.250,"_",4.510,4.423,4.529,4.701,5.007,95.195
"26 JUN2000","_","_","_","_",5.250,3.250,"_",4.440,4.443,4.544,4.716,5.035,95.195
"27 JUN2000",4.250,0.000,4.290,4.320,5.250,3.250,"_",4.430,4.443,4.551,4.718,5.036,95.205
"28 JUN2000","_","_","_","_",5.250,3.250,"_",4.380,4.425,4.547,4.716,5.025,95.185
"29 JUN2000","_","_","_","_",5.250,3.250,"_",4.330,4.417,4.548,4.786,5.045,95.205
"30 JUN2000","_","_","_","_",5.250,3.250,"_",4.750,4.417,4.547,4.780,5.037,95.210
"03 JUL2000","_","_","_","_",5.250,3.250,"_",4.330,4.423,4.551,4.782,5.041,95.185
"04 JUL2000",4.250,0.000,4.290,4.300,5.250,3.250,"_",4.320,4.414,4.547,4.780,5.041,95.195
"05 JUL2000","_","_","_","_",5.250,3.250,"_",4.320,4.407,4.544,4.780,5.042,95.230
"06 JUL2000","_","_","_","_",5.250,3.250,"_",4.320,4.405,4.535,4.766,5.005,95.205
"07 JUL2000","_","_","_","_",5.250,3.250,"_",4.310,4.402,4.538,4.771,5.031,95.220
"10 JUL2000","_","_","_","_",5.250,3.250,"_",4.310,4.400,4.537,4.770,5.026,95.195
"11 JUL2000",4.250,0.000,4.290,4.300,5.250,3.250,"_",4.310,4.399,4.539,4.775,5.031,95.185
"12 JUL2000","_","_","_","_",5.250,3.250,"_",4.310,4.398,4.541,4.778,5.044,95.175
"13 JUL2000","_","_","_","_",5.250,3.250,"_",4.300,4.391,4.548,4.794,5.084,95.150
"14 JUL2000","_","_","_","_",5.250,3.250,"_",4.310,4.391,4.558,4.813,5.106,95.135
"17 JUL2000","_","_","_","_",5.250,3.250,"_",4.310,4.393,4.562,4.836,5.138,95.130
"18 JUL2000",4.250,0.000,4.290,4.300,5.250,3.250,"_",4.320,4.394,4.566,4.836,5.134,95.100
"19 JUL2000","_","_","_","_",5.250,3.250,"_",4.340,4.420,4.625,4.896,5.198,95.080
"20 JUL2000","_","_","_","_",5.250,3.250,"_",4.220,4.421,4.636,4.902,5.195,95.110
"21 JUL2000","_","_","_","_",5.250,3.250,"_",3.980,4.416,4.624,4.880,5.142,95.105
"24 JUL2000","_","_","_","_",5.250,3.250,"_",4.360,4.415,4.624,4.895,5.149,95.095
"25 JUL2000",4.250,0.000,4.300,4.310,5.250,3.250,"_",4.350,4.412,4.626,4.896,5.149,95.105
"26 JUL2000","_","_","_","_",5.250,3.250,"_",4.330,4.411,4.631,4.894,5.146,95.115
"27 JUL2000","_","_","_","_",5.250,3.250,"_",4.330,4.413,4.630,4.898,5.153,95.100
"28 JUL2000","_","_","_","_",5.250,3.250,"_",4.350,4.419,4.638,4.912,5.174,95.095
"31 JUL2000","_","_","_","_",5.250,3.250,"_",4.450,4.417,4.641,4.920,5.177,95.105
"01 AGO2000",4.250,0.000,4.310,4.310,5.250,3.250,"_",4.330,4.416,4.636,4.916,5.164,95.120
"02 AGO2000","_","_","_","_",5.250,3.250,"_",4.330,4.417,4.639,4.917,5.161,95.105
"03 AGO2000","_","_","_","_",5.250,3.250,"_","_",4.417,4.642,4.922,5.169,95.115
"04 AGO2000","_","_","_","_",5.250,3.250,"_",4.330,4.416,4.644,4.917,5.166,95.130
"07 AGO2000","_","_","_","_",5.250,3.250,"_",4.330,4.414,4.639,4.902,5.143,95.160
"08 AGO2000",4.250,0.000,4.300,4.310,5.250,3.250,"_",4.330,4.406,4.637,4.895,5.126,95.140
"09 AGO2000","_","_","_","_",5.250,3.250,"_",4.330,4.406,4.644,4.898,5.138,95.115
"10 AGO2000","_","_","_","_",5.250,3.250,"_",4.330,4.408,4.648,4.901,5.145,95.130
"11 AGO2000","_","_","_","_",5.250,3.250,"_",4.350,4.465,4.711,4.946,5.188,95.050
"14 AGO2000",4.250,0.000,4.350,4.370,5.250,3.250,"_","_",4.554,4.784,5.004,5.250,95.050
"15 AGO2000","_","_","_","_","_","_","_",4.390,"_","_","_","_",95.035
"16 AGO2000","_","_","_","_",5.250,3.250,"_",4.380,4.598,4.824,5.046,5.290,95.030
"17 AGO2000","_","_","_","_",5.250,3.250,"_",4.350,4.630,4.841,5.067,5.306,95.045
"18 AGO2000","_","_","_","_",5.250,3.250,"_",4.270,4.626,4.832,5.055,5.290,95.045
"21 AGO2000","_","_","_","_",5.250,3.250,"_",4.260,4.642,4.844,5.072,5.320,95.020
"22 AGO2000",4.250,0.000,4.470,4.500,5.250,3.250,"_",4.350,4.686,4.871,5.094,5.337,95.045
"23 AGO2000","_","_","_","_",5.250,3.250,"_",4.080,4.682,4.870,5.089,5.325,95.060
"24 AGO2000","_","_","_","_",5.250,3.250,"_",4.550,4.675,4.864,5.080,5.299,95.050
"25 AGO2000","_","_","_","_",5.250,3.250,"_",4.730,4.736,4.902,5.104,5.328,95.020
"28 AGO2000","_","_","_","_",5.250,3.250,"_",4.760,4.780,4.919,5.116,5.341,95.030
"29 AGO2000",4.250,0.000,4.680,4.710,5.250,3.250,"_",4.740,4.781,4.915,5.111,5.339,95.050
"30 AGO2000","_","_","_","_",5.250,3.250,"_",4.700,4.750,4.893,5.094,5.324,95.065
"31 AGO2000","_","_","_","_",5.250,3.250,"_",4.700,4.741,4.888,5.092,5.313,95.115
"01 SEP2000","_","_","_","_",5.500,3.500,"_",4.600,4.664,4.829,5.044,5.261,95.155
"04 SEP2000","_","_","_","_",5.500,3.500,"_",4.590,4.648,4.816,5.016,5.213,95.150
"05 SEP2000",4.500,0.250,4.550,4.570,5.500,3.500,"_",4.600,4.657,4.824,5.024,5.233,95.135
"06 SEP2000","_","_","_","_",5.500,3.500,"_",4.610,4.671,4.833,5.049,5.272,95.110
"07 SEP2000","_","_","_","_",5.500,3.500,"_",4.640,4.711,4.870,5.097,5.328,95.105
"08 SEP2000","_","_","_","_",5.500,3.500,"_",4.640,4.706,4.860,5.085,5.293,95.105
"11 SEP2000","_","_","_","_",5.500,3.500,"_",4.630,4.705,4.863,5.086,5.293,95.115
"12 SEP2000",4.500,0.000,4.580,4.590,5.500,3.500,"_",4.610,4.702,4.861,5.077,5.289,95.130
"13 SEP2000","_","_","_","_",5.500,3.500,"_",4.580,4.682,4.846,5.054,5.258,95.145
"14 SEP2000","_","_","_","_",5.500,3.500,"_",4.540,4.663,4.831,5.044,5.241,95.170
"15 SEP2000","_","_","_","_",5.500,3.500,"_",4.530,4.649,4.809,5.011,5.202,95.190
"18 SEP2000","_","_","_","_",5.500,3.500,"_",4.540,4.664,4.816,5.011,5.208,95.185
"19 SEP2000",4.500,0.000,4.560,4.580,5.500,3.500,"_",4.540,4.669,4.816,5.005,5.172,94.870
"20 SEP2000","_","_","_","_",5.500,3.500,"_",4.540,4.669,4.818,5.002,5.168,94.865
"21 SEP2000","_","_","_","_",5.500,3.500,"_",4.400,4.678,4.815,4.996,5.148,94.880
"22 SEP2000","_","_","_","_",5.500,3.500,"_",4.120,4.685,4.811,4.982,5.118,94.930
"25 SEP2000","_","_","_","_",5.500,3.500,"_",4.660,4.704,4.827,4.994,5.141,94.840
"26 SEP2000",4.500,0.000,4.650,4.680,5.500,3.500,"_",4.720,4.774,4.884,5.045,5.189,94.845
"27 SEP2000","_","_","_","_",5.500,3.500,"_",4.700,4.774,4.885,5.047,5.182,94.830
"28 SEP2000","_","_","_","_",5.500,3.500,"_",4.700,4.786,4.999,5.065,5.200,94.825
"29 SEP2000","_","_","_","_",5.500,3.500,"_",4.910,4.791,4.996,5.063,5.195,94.845
"02 OCT2000",4.500,0.000,4.670,4.680,5.500,3.500,"_",4.690,4.787,4.991,5.047,5.173,94.865
"03 OCT2000","_","_","_","_",5.500,3.500,"_",4.690,4.783,4.985,5.041,5.159,94.875
"04 OCT2000","_","_","_","_",5.500,3.500,"_",4.680,4.777,4.981,5.040,5.155,94.860
"05 OCT2000","_","_","_","_",5.500,3.500,"_",4.710,4.770,4.981,5.050,5.172,94.815
"06 OCT2000","_","_","_","_",5.750,3.750,"_",4.800,4.846,5.021,5.091,5.214,94.825
"09 OCT2000","_","_","_","_",5.750,3.750,"_",4.790,4.845,5.020,5.085,5.212,94.850
"10 OCT2000",4.750,0.250,4.760,4.780,5.750,3.750,"_",4.780,4.840,5.016,5.079,5.205,94.845
"11 OCT2000","_","_","_","_",5.750,3.750,"_","_",4.824,5.007,5.064,5.188,94.875
"12 OCT2000","_","_","_","_","_","_","_",4.770,"_","_","_","_",94.880
"13 OCT2000","_","_","_","_",5.750,3.750,"_",4.730,4.808,4.990,5.045,5.145,94.860
"16 OCT2000","_","_","_","_",5.750,3.750,"_",4.730,4.821,5.009,5.070,5.194,94.840
"17 OCT2000",4.750,0.000,4.750,4.760,5.750,3.750,"_",4.730,4.828,5.018,5.078,5.201,94.850
"18 OCT2000","_","_","_","_",5.750,3.750,"_",4.650,4.825,5.016,5.074,5.189,94.840
"19 OCT2000","_","_","_","_",5.750,3.750,"_",4.640,4.843,5.025,5.097,5.209,94.830
"20 OCT2000","_","_","_","_",5.750,3.750,"_",4.680,4.859,5.039,5.113,5.225,94.805
"23 OCT2000","_","_","_","_",5.750,3.750,"_",4.720,4.876,5.064,5.125,5.237,94.780
"24 OCT2000",4.750,0.000,4.800,4.820,5.750,3.750,"_",4.840,4.914,5.100,5.160,5.280,94.780
"25 OCT2000","_","_","_","_",5.750,3.750,"_",4.850,4.920,5.103,5.166,5.288,94.765
"26 OCT2000","_","_","_","_",5.750,3.750,"_",4.850,4.938,5.125,5.194,5.305,94.765
"27 OCT2000","_","_","_","_",5.750,3.750,"_",4.850,4.949,5.132,5.194,5.290,94.775
"30 OCT2000","_","_","_","_",5.750,3.750,"_",4.850,4.956,5.138,5.197,5.288,94.785
"31 OCT2000",4.750,0.000,4.840,4.850,5.750,3.750,"_",4.970,4.957,5.140,5.202,5.291,94.780
"01 NOV2000","_","_","_","_",5.750,3.750,"_",4.870,4.956,5.137,5.195,5.272,94.805
"02 NOV2000","_","_","_","_",5.750,3.750,"_",4.860,4.951,5.125,5.181,5.252,94.805
"03 NOV2000","_","_","_","_",5.750,3.750,"_",4.850,4.948,5.125,5.175,5.251,94.815
"06 NOV2000","_","_","_","_",5.750,3.750,"_",4.850,4.945,5.122,5.171,5.246,94.810
"07 NOV2000",4.750,0.000,4.830,4.840,5.750,3.750,"_",4.840,4.943,5.119,5.168,5.245,94.810
"08 NOV2000","_","_","_","_",5.750,3.750,"_",4.830,4.939,5.122,5.174,5.254,94.805
"09 NOV2000","_","_","_","_",5.750,3.750,"_",4.820,4.937,5.123,5.174,5.253,94.810
"10 NOV2000","_","_","_","_",5.750,3.750,"_",4.810,4.932,5.112,5.157,5.223,94.845
"13 NOV2000","_","_","_","_",5.750,3.750,"_",4.810,4.919,5.106,5.143,5.201,94.880
"14 NOV2000",4.750,0.000,4.780,4.800,5.750,3.750,"_",4.800,4.908,5.094,5.125,5.188,94.870
"15 NOV2000","_","_","_","_",5.750,3.750,"_",4.790,4.892,5.085,5.120,5.179,94.885
"16 NOV2000","_","_","_","_",5.750,3.750,"_",4.770,4.886,5.078,5.111,5.166,94.890
"17 NOV2000","_","_","_","_",5.750,3.750,"_",4.760,4.873,5.062,5.095,5.150,94.885
"20 NOV2000","_","_","_","_",5.750,3.750,"_",4.800,4.872,5.061,5.093,5.151,94.885
"21 NOV2000",4.750,0.000,4.800,4.820,5.750,3.750,"_",4.860,4.886,5.070,5.100,5.161,94.880
"22 NOV2000","_","_","_","_",5.750,3.750,"_",4.790,4.891,5.072,5.103,5.168,94.895
"23 NOV2000","_","_","_","_",5.750,3.750,"_",4.810,4.893,5.070,5.103,5.167,94.885
"24 NOV2000","_","_","_","_",5.750,3.750,"_",4.830,4.896,5.071,5.104,5.167,94.890
"27 NOV2000","_","_","_","_",5.750,3.750,"_",4.840,4.899,5.075,5.112,5.171,94.890
"28 NOV2000",4.750,0.000,4.820,4.830,5.750,3.750,"_",4.850,4.905,5.074,5.107,5.165,94.905
"29 NOV2000","_","_","_","_",5.750,3.750,"_",4.860,5.046,5.069,5.098,5.131,94.915
"30 NOV2000","_","_","_","_",5.750,3.750,"_",4.940,5.031,5.051,5.069,5.091,94.980
"01 DIC2000","_","_","_","_",5.750,3.750,"_",4.840,5.017,5.021,5.030,5.054,94.975
"04 DIC2000","_","_","_","_",5.750,3.750,"_",4.820,5.007,5.012,5.021,5.042,94.995
"05 DIC2000",4.750,0.000,4.750,4.790,5.750,3.750,"_",4.800,5.001,5.006,5.011,5.025,95.010
"06 DIC2000","_","_","_","_",5.750,3.750,"_",4.780,4.987,4.972,4.951,4.931,95.045
"07 DIC2000","_","_","_","_",5.750,3.750,"_",4.810,4.974,4.956,4.931,4.907,95.045
"08 DIC2000","_","_","_","_",5.750,3.750,"_",4.830,4.967,4.956,4.934,4.911,95.040
"11 DIC2000","_","_","_","_",5.750,3.750,"_",4.830,4.975,4.967,4.955,4.941,95.035
"12 DIC2000",4.750,0.000,4.760,4.780,5.750,3.750,"_",4.830,4.979,4.967,4.958,4.951,95.030
"13 DIC2000","_","_","_","_",5.750,3.750,"_",4.810,4.977,4.966,4.955,4.942,95.045
