Date,Last,Open,Max,Min,Vol_K,Var_%
2019-10-23,61.17,59.48,61.3,58.85,313.23,2.46
2019-10-22,59.7,59.05,60.26,58.75,260.6,1.26
2019-10-21,58.96,59.23,59.55,58.26,212.57,-0.77
2019-10-18,59.42,59.78,60.29,59.01,228.14,-0.82
2019-10-17,59.91,58.99,60.04,58.69,269.84,0.82
2019-10-16,59.42,58.9,59.75,58.36,257.88,1.16
2019-10-15,58.74,59.3,59.68,58.0,305.68,-1.03
2019-10-14,59.35,60.69,60.73,58.5,283.07,-1.92
2019-10-11,60.51,59.53,60.69,59.21,367.63,2.39
2019-10-10,59.1,58.04,59.6,57.8,262.53,1.34
2019-10-09,58.32,58.02,59.35,57.91,266.48,0.14
2019-10-08,58.24,58.47,58.92,57.38,274.74,-0.19
2019-10-07,58.35,58.02,59.68,58.02,228.41,-0.03
2019-10-04,58.37,57.69,58.96,57.67,299.92,1.14
2019-10-03,57.71,57.54,57.99,56.15,336.9,0.03
2019-10-02,57.69,59.25,59.5,57.22,307.91,-2.04
2019-10-01,58.89,59.38,60.1,58.41,291.67,-3.11
2019-09-30,60.78,62.24,62.24,60.73,22.01,-1.83
2019-09-27,61.91,62.48,62.75,60.76,97.33,-1.32
2019-09-26,62.74,62.58,62.92,61.45,115.57,0.56
2019-09-25,62.39,62.44,62.81,61.23,201.47,-1.13
2019-09-24,63.1,64.4,64.6,62.3,216.28,-2.58
2019-09-23,64.77,65.23,65.5,63.53,204.78,0.76
2019-09-20,64.28,65.0,65.28,64.05,224.88,-0.19
2019-09-19,64.4,63.51,65.57,63.46,258.85,1.26
2019-09-18,63.6,64.23,64.99,63.04,295.05,-1.47
2019-09-17,64.55,68.15,69.26,63.55,620.49,-6.48
2019-09-16,69.02,66.45,71.95,64.75,735.54,14.61
2019-09-13,60.22,60.45,60.81,59.6,195.83,-0.26
2019-09-12,60.38,61.16,61.39,58.92,358.09,-0.71
2019-09-11,60.81,62.88,63.27,60.52,315.12,-2.52
2019-09-10,62.38,62.82,63.78,62.17,267.55,-0.34
2019-09-09,62.59,61.6,63.0,61.57,249.71,1.71
2019-09-06,61.54,60.81,61.88,59.4,287.36,0.97
2019-09-05,60.95,60.49,62.4,60.25,292.06,0.41
2019-09-04,60.7,58.17,60.96,58.13,283.1,4.19
2019-09-03,58.26,58.54,58.87,57.23,265.12,-0.68
2019-09-02,58.66,58.8,59.26,58.1,121.64,-2.93
2019-08-30,60.43,60.98,61.17,60.25,25.14,-1.06
2019-08-29,61.08,60.48,61.19,59.98,131.09,0.98
2019-08-28,60.49,60.04,61.0,59.8,134.26,1.65
2019-08-27,59.51,58.8,60.17,58.51,218.37,1.38
2019-08-26,58.7,58.35,60.17,58.24,183.3,-1.08
2019-08-23,59.34,60.11,60.29,58.3,321.24,-0.97
2019-08-22,59.92,60.43,60.89,59.47,276.11,-0.63
2019-08-21,60.3,60.11,61.41,60.07,269.68,0.45
2019-08-20,60.03,59.68,60.32,58.95,245.25,0.49
2019-08-19,59.74,58.72,59.92,58.64,211.45,1.88
2019-08-16,58.64,58.41,59.5,58.28,209.43,0.7
2019-08-15,58.23,59.07,59.42,57.67,298.67,-2.1
2019-08-14,59.48,61.07,61.08,58.21,320.43,-2.97
2019-08-13,61.3,58.47,61.5,58.0,338.08,4.66
2019-08-12,58.57,58.3,58.88,57.88,221.35,0.07
2019-08-09,58.53,57.74,59.1,57.11,281.8,2.0
2019-08-08,57.38,57.48,58.01,56.77,299.69,2.05
2019-08-07,56.23,58.68,59.23,55.88,485.19,-4.6
2019-08-06,58.94,59.56,60.56,58.55,328.15,-1.45
2019-08-05,59.81,61.46,61.56,59.66,378.86,-3.36
2019-08-02,61.89,61.16,62.95,60.98,364.14,2.3
2019-08-01,60.5,64.09,64.54,60.02,433.72,-7.17
2019-07-31,65.17,64.95,65.42,64.95,18.76,0.7
