,Date,Last,Open,Max,Min,Vol_K,Var_%,Index,nasdaq_last_5_avg,nasdaq_last_3_avg,nasdaq_last_1
0,2019-10-23,7889.47,7858.48,7890.21,7845.09,136000.79,0.19,nasdaq,-0.172,-0.283,-0.83
1,2019-10-22,7874.62,7968.25,7977.01,7871.98,139000.02,-0.83,nasdaq,0.25,0.087,0.91
2,2019-10-21,7940.33,7911.58,7941.48,7887.74,133000.09,0.91,nasdaq,0.064,-0.313,-0.93
3,2019-10-18,7868.49,7938.3,7946.81,7829.75,176000.07,-0.93,nasdaq,0.518,0.423,0.28
4,2019-10-17,7942.14,7976.64,7981.14,7914.94,124000.57,0.28,nasdaq,0.592,0.323,-0.29
5,2019-10-16,7920.21,7911.99,7941.76,7898.31,134000.26,-0.29,nasdaq,0.876,0.867,1.28
6,2019-10-15,7942.85,7867.96,7960.14,7863.65,126000.12,1.28,nasdaq,0.308,0.657,-0.02
7,2019-10-14,7842.33,7834.74,7865.67,7827.16,112000.43,-0.02,nasdaq,0.238,1.04,1.34
8,2019-10-11,7843.88,7835.93,7904.05,7831.11,180000.49,1.34,nasdaq,0.272,0.073,0.65
9,2019-10-10,7740.36,7688.42,7772.68,7682.61,126000.74,0.65,nasdaq,0.374,-0.267,1.13
10,2019-10-09,7690.53,7678.66,7717.94,7655.48,114000.22,1.13,nasdaq,-0.2,-0.14,-1.56
11,2019-10-08,7604.27,7671.38,7707.17,7603.76,152000.36,-1.56,nasdaq,-0.056,0.767,-0.37
12,2019-10-07,7725.13,7725.68,7784.79,7712.68,130000.61,-0.37,nasdaq,0.194,0.31,1.51
13,2019-10-04,7754.1,7677.32,7759.36,7670.92,134000.98,1.51,nasdaq,-0.34,-0.473,1.16
14,2019-10-03,7638.4,7557.19,7640.42,7463.57,152000.63,1.16,nasdaq,-0.652,-0.567,-1.74
15,2019-10-02,7550.79,7627.59,7631.34,7513.69,187000.74,-1.74,nasdaq,-0.062,-0.373,-0.84
16,2019-10-01,7684.14,7782.82,7821.73,7675.42,150000.44,-0.84,nasdaq,-0.172,-0.227,0.88
17,2019-09-30,7749.45,7705.97,7761.84,7693.49,144000.63,0.88,nasdaq,-0.36,-0.117,-1.16
18,2019-09-27,7681.58,7786.03,7790.8,7626.82,170000.02,-1.16,nasdaq,-0.326,-0.193,-0.4
19,2019-09-26,7771.99,7794.28,7798.12,7718.69,146000.93,-0.4,nasdaq,-0.212,-0.08,1.21
20,2019-09-25,7803.54,7706.5,7822.43,7647.63,154000.55,1.21,nasdaq,-0.454,-0.813,-1.39
21,2019-09-24,7710.04,7855.97,7873.25,7684.8,205000.3,-1.39,nasdaq,-0.084,-0.293,-0.06
22,2019-09-23,7818.61,7815.23,7842.98,7790.29,138000.57,-0.06,nasdaq,-0.174,-0.273,-0.99
23,2019-09-20,7823.55,7901.46,7920.53,7794.27,425000.83,-0.99,nasdaq,-0.038,0.21,0.17
24,2019-09-19,7901.79,7904.4,7950.21,7888.31,136000.33,0.17,nasdaq,0.004,-0.017,-0.0
25,2019-09-18,7888.56,7877.58,7891.17,7791.58,148000.23,-0.0,nasdaq,0.19,-0.12,0.46
26,2019-09-17,7888.79,7849.88,7891.21,7840.99,131000.29,0.46,nasdaq,0.052,-0.147,-0.51
27,2019-09-16,7852.41,7833.73,7868.73,7831.76,127000.98,-0.51,nasdaq,0.102,0.333,-0.31
28,2019-09-13,7892.95,7903.73,7923.41,7879.59,137000.91,-0.31,nasdaq,0.138,0.36,0.38
29,2019-09-12,7917.34,7931.97,7975.33,7907.33,172000.95,0.38,nasdaq,0.434,0.147,0.93
30,2019-09-11,7887.58,7820.71,7888.34,7812.07,174000.74,0.93,nasdaq,0.536,-0.207,-0.23
31,2019-09-10,7814.74,7793.27,7817.58,7743.61,169000.12,-0.23,nasdaq,0.37,0.49,-0.26
32,2019-09-09,7832.4,7876.4,7877.41,7795.86,164000.52,-0.26,nasdaq,0.392,1.057,-0.13
33,2019-09-06,7852.54,7868.87,7874.99,7835.89,143000.93,-0.13,nasdaq,0.72,0.747,1.86
34,2019-09-05,7862.54,7803.45,7879.97,7803.45,177000.16,1.86,nasdaq,0.406,0.077,1.44
35,2019-09-04,7719.25,7683.78,7724.91,7663.64,152000.7,1.44,nasdaq,0.094,0.1,-1.06
36,2019-09-03,7609.51,7634.03,7670.17,7584.82,141000.82,-1.06,nasdaq,0.6,0.55,-0.15
37,2019-08-30,7691.0,7743.23,7747.08,7642.9,155000.12,-0.15,nasdaq,0.0,0.56,1.51
38,2019-08-29,7702.31,7678.69,7723.94,7654.31,132000.36,1.51,nasdaq,-0.368,0.547,0.29
39,2019-08-28,7587.9,7536.7,7598.15,7500.22,127000.12,0.29,nasdaq,-0.246,-0.6,-0.12
40,2019-08-27,7566.03,7630.46,7640.68,7531.97,161000.64,-0.12,nasdaq,-0.364,-0.67,1.47
41,2019-08-26,7575.02,7540.69,7577.77,7506.17,141000.31,1.47,nasdaq,-0.354,-0.86,-3.15
42,2019-08-23,7464.99,7658.48,7722.43,7442.93,226000.23,-3.15,nasdaq,0.594,-0.047,-0.33
43,2019-08-22,7707.43,7750.98,7764.79,7649.28,134000.14,-0.33,nasdaq,0.646,0.57,0.9
44,2019-08-21,7733.22,7731.75,7754.66,7706.57,114000.96,0.9,nasdaq,-0.15,0.8,-0.71
45,2019-08-20,7664.47,7708.31,7731.31,7664.21,136000.55,-0.71,nasdaq,0.432,1.013,1.52
46,2019-08-19,7719.32,7715.41,7740.74,7688.09,158000.81,1.52,nasdaq,-0.094,-0.52,1.59
47,2019-08-16,7604.11,7548.9,7622.73,7548.9,172000.43,1.59,nasdaq,-0.616,-0.317,-0.07
48,2019-08-15,7484.89,7503.14,7523.5,7429.36,175000.07,-0.07,nasdaq,-0.144,-0.663,-3.08
49,2019-08-14,7490.13,7594.64,7621.7,7480.58,227000.84,-3.08,nasdaq,0.554,0.023,2.2
50,2019-08-13,7728.15,7561.68,7778.34,7553.33,213000.47,2.2,nasdaq,0.398,0.053,-1.11
51,2019-08-12,7561.68,7597.19,7623.44,7528.95,166000.7,-1.11,nasdaq,-0.1,0.56,-1.02
52,2019-08-09,7646.27,7684.56,7709.51,7591.14,177000.03,-1.02,nasdaq,-0.174,1.373,2.29
53,2019-08-08,7724.83,7608.03,7726.46,7576.82,220000.27,2.29,nasdaq,-0.754,-0.59,0.41
54,2019-08-07,7551.9,7436.14,7569.9,7386.39,192000.75,0.41,nasdaq,-1.096,-1.19,1.42
55,2019-08-06,7521.32,7492.02,7541.74,7432.31,188000.95,1.42,nasdaq,-1.472,-1.867,-3.6
56,2019-08-05,7415.69,7510.02,7528.9,7356.27,260000.46,-3.6,nasdaq,-0.822,-1.1,-1.39
57,2019-08-02,7692.8,7740.91,7755.09,7645.18,195000.78,-1.39,nasdaq,-0.324,-0.79,-0.61
58,2019-08-01,7801.15,7866.6,8000.94,7769.02,229000.35,-0.61,nasdaq,-0.404,-0.703,-1.3
59,2019-07-31,7848.78,7972.76,7979.2,7774.93,241000.2,-1.3,nasdaq,-0.004,0.097,-0.46
60,2019-07-30,7952.47,7927.56,7983.11,7923.45,145000.34,-0.46,nasdaq,0.214,-0.087,-0.35
61,2019-07-29,7989.08,8010.05,8010.05,7939.98,166000.74,-0.35,nasdaq,0.464,0.263,1.1
62,2019-07-26,8016.95,7992.12,8027.18,7986.72,166000.61,1.1,nasdaq,0.068,0.107,-1.01
63,2019-07-25,7929.87,7979.14,7983.96,7921.21,176000.53,-1.01,nasdaq,0.308,0.743,0.7
64,2019-07-24,8010.6,7928.78,8010.83,7926.98,169000.25,0.7,nasdaq,0.072,0.217,0.63
65,2019-07-23,7954.56,7946.05,7955.09,7895.05,138000.29,0.63,nasdaq,-0.154,0.07,0.9
66,2019-07-22,7905.12,7862.38,7918.47,7862.27,149000.0,0.9,nasdaq,-0.274,-0.39,-0.88
67,2019-07-19,7834.9,7944.86,7950.23,7832.39,177000.8,-0.88,nasdaq,0.02,-0.263,0.19
68,2019-07-18,7904.13,7850.12,7912.33,7827.49,156000.44,0.19,nasdaq,-0.034,-0.227,-0.48
69,2019-07-17,7888.76,7927.91,7941.1,7887.98,144000.4,-0.48,nasdaq,0.258,0.13,-0.5
70,2019-07-16,7927.08,7958.44,7965.76,7904.95,139000.65,-0.5,nasdaq,0.464,0.27,0.3
71,2019-07-15,7966.93,7961.07,7969.79,7940.45,149000.41,0.3,nasdaq,0.262,0.497,0.59
72,2019-07-12,7943.24,7908.58,7944.08,7900.39,178000.33,0.59,nasdaq,0.102,0.477,-0.08
73,2019-07-11,7896.78,7918.65,7934.6,7873.16,149000.72,-0.08,nasdaq,0.266,0.267,0.98
74,2019-07-10,7903.4,7869.73,7923.93,7858.68,165000.08,0.98,nasdaq,0.152,-0.13,0.53
75,2019-07-09,7826.86,7748.29,7833.93,7748.23,146000.88,0.53,nasdaq,0.3,-0.06,-0.71
76,2019-07-08,7785.79,7790.46,7792.2,7756.11,143000.85,-0.71,nasdaq,0.478,0.313,-0.21
77,2019-07-05,7841.3,7806.07,7854.71,7774.59,125000.48,-0.21,nasdaq,0.598,0.807,0.74
78,2019-07-03,7857.69,7819.06,7857.69,7811.29,111000.14,0.74,nasdaq,0.544,0.62,0.41
79,2019-07-02,7799.82,7763.03,7800.47,7746.01,139000.65,0.41,nasdaq,0.122,0.613,1.27
80,2019-07-01,7768.14,7816.56,7820.81,7735.67,182000.63,1.27,nasdaq,-0.146,0.347,0.18
81,2019-06-28,7671.07,7674.52,7682.26,7639.44,318000.5,0.18,nasdaq,-0.206,-0.28,0.39
82,2019-06-27,7657.05,7656.68,7672.98,7636.72,150000.21,0.39,nasdaq,-0.1,-0.433,0.47
83,2019-06-26,7627.05,7642.92,7688.64,7616.91,192000.6,0.47,nasdaq,-0.11,-0.63,-1.7
84,2019-06-25,7591.54,7720.91,7723.04,7584.16,173000.04,-1.7,nasdaq,0.52,0.243,-0.07
85,2019-06-24,7723.02,7737.01,7746.68,7720.78,153000.06,-0.07,nasdaq,0.66,0.407,-0.12
86,2019-06-21,7728.78,7719.42,7772.53,7708.24,385000.16,-0.12,nasdaq,0.6,0.93,0.92
87,2019-06-20,7738.06,7770.17,7770.61,7681.43,170000.38,0.92,nasdaq,0.518,0.833,0.42
88,2019-06-19,7667.74,7652.52,7681.56,7606.28,166000.28,0.42,nasdaq,0.324,0.553,1.45
89,2019-06-18,7635.4,7606.61,7689.08,7595.59,197000.02,1.45,nasdaq,0.066,0.24,0.63
90,2019-06-17,7526.52,7500.28,7546.99,7492.17,147000.03,0.63,nasdaq,0.168,-0.153,-0.42
91,2019-06-14,7479.11,7476.47,7500.74,7454.87,152000.29,-0.42,nasdaq,0.64,0.04,0.51
92,2019-06-13,7510.68,7500.85,7530.9,7487.09,140000.05,0.51,nasdaq,0.69,0.25,-0.55
